year,jurisdiction,jurisdiction_name,complaints,inquiries
2005,WY,Wyoming,596,
2006,AK,Alaska,339,7400
2006,AL,Alabama,4295,275
2006,AR,Arkansas,2721,27064
2006,AZ,Arizona,2885,69083
2006,CA,California,33054,276419
2006,CO,Colorado,4407,15830
2006,CT,Connecticut,5913,23373
2006,DC,Dist. of Columbia,802,4500
2006,DE,Delaware,9174,1960
2006,FL,Florida,56721,481763
2006,GA,Georgia,13530,62335
2006,HI,Hawaii,684,6162
2006,IA,Iowa,2303,1100
2006,ID,Idaho,973,8308
2006,IL,Illinois,11487,185656
2006,IN,Indiana,4414,57334
2006,KS,Kansas,4857,1696
2006,KY,Kentucky,5202,611
2006,LA,Louisiana,8070,195748
2006,MA,Massachusetts,1873,29333
2006,MD,Maryland,14454,814
2006,ME,Maine,948,13803
2006,MI,Michigan,5530,7661
2006,MN,Minnesota,2803,906
2006,MO,Missouri,4339,39035
2006,MS,Mississippi,15165,0
2006,MT,Montana,2310,600
2006,NC,North Carolina,8245,71185
2006,ND,North Dakota,230,10116
2006,NE,Nebraska,1905,4087
2006,NH,New Hampshire,1188,12004
2006,NJ,New Jersey,7134,37522
2006,NM,New Mexico,1236,10084
2006,NV,Nevada,4249,41360
2006,NY,New York,58526,1619
2006,OH,Ohio,6828,86902
2006,OK,Oklahoma,4386,29447
2006,OR,Oregon,3752,14576
2006,PA,Pennsylvania,18010,125714
2006,PR,Puerto Rico,1172,14684
2006,RI,Rhode Island,703,
2006,SC,South Carolina,2436,61716
2006,SD,South Dakota,1019,19
2006,TN,Tennessee,2945,
2006,TX,Texas,27720,245472
2006,UT,Utah,720,82668
2006,VA,Virginia,4481,2114
2006,VT,Vermont,648,12998
2006,WA,Washington,5831,113342
2006,WI,Wisconsin,8094,35000
2006,WV,West Virginia,2429,30666
2006,WY,Wyoming,514,
2007,AK,Alaska,331,7200
2007,AL,Alabama,4639,4544
2007,AR,Arkansas,3379,28102
2007,AZ,Arizona,3137,52593
2007,CA,California,35280,254337
2007,CO,Colorado,4217,16866
2007,CT,Connecticut,6698,23416
2007,DC,Dist. of Columbia,647,4000
2007,DE,Delaware,3964,4201
2007,FL,Florida,57271,463251
2007,GA,Georgia,10160,51262
2007,HI,Hawaii,491,4920
2007,IA,Iowa,1935,1022
2007,ID,Idaho,926,8425
2007,IL,Illinois,10652,157983
2007,IN,Indiana,5573,76516
