state,year,line,outcome_category,count,source_type,is_partial_year,notes
CO,2015,all_lines,,3399,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
CO,2016,all_lines,,4098,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
CO,2017,all_lines,,4836,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
CO,2018,all_lines,,4130,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
CO,2019,all_lines,,4081,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
CO,2020,all_lines,,3761,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
CO,2021,all_lines,,3022,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
CO,2022,all_lines,,3694,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
CT,1998,all_lines,,10953,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
CT,1999,all_lines,,12119,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
CT,2000,all_lines,,14210,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
CT,2001,all_lines,,12728,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
CT,2002,all_lines,,13352,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
CT,2004,all_lines,,11004,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
CT,2005,all_lines,,6681,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
CT,2006,all_lines,,5913,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
CT,2007,all_lines,,6698,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
CT,2008,all_lines,,5051,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
CT,2009,all_lines,,5270,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
CT,2010,all_lines,,4756,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
CT,2011,all_lines,,4569,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
CT,2012,all_lines,,4569,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
CT,2013,all_lines,,4156,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
CT,2014,all_lines,,4724,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
CT,2015,all_lines,,4570,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
CT,2016,all_lines,,5846,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
CT,2017,all_lines,,4627,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
CT,2018,all_lines,,4758,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
CT,2019,all_lines,,4748,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
CT,2020,all_lines,,4372,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
CT,2021,all_lines,,4580,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
CT,2022,all_lines,,3941,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
