year,line,rank_in_study,company_canonical,company_name,exposure,justified_ratio,justified_count,study_year
2021,auto,16,AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE,American Family Connect Property and Casualty Insurance,634556,2.9,17,2023
2021,auto,17,SAFECO INSURANCE COMPANY OF AMERICA,SAFECO INSURANCE COMPANY OF AMERICA,366740,2.6,9,2024
2021,auto,17,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MICHIGAN","Foremost Insurance Company Grand Rapids, Michigan",82915,2.4,2,2023
2021,auto,18,MERCURY INSURANCE COMPANY,MERCURY INSURANCE COMPANY,1616454,1.9,32,2024
2021,auto,19,NATIONWIDE INSURANCE COMPANY OF AMERICA,NATIONWIDE INSURANCE COMPANY OF AMERICA,306561,1.6,6,2024
2021,auto,20,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MI","FOREMOST INSURANCE COMPANY GRAND RAPIDS, MI",83676,2.4,2,2024
2021,auto,21,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,State Farm Mutual Automobile Insurance Company,3780159,2.5,92,2023
2021,auto,21,ALLIANCE UNITED INSURANCE COMPANY,ALLIANCE UNITED INSURANCE COMPANY,333737,10.9,125,2024
2021,auto,22,UNITED FINANCIAL CASUALTY COMPANY,UNITED FINANCIAL CASUALTY COMPANY,853530,3.2,23,2024
2021,auto,23,HARTFORD UNDERWRITERS INSURANCE COMPANY,HARTFORD UNDERWRITERS INSURANCE COMPANY,120028,6.0,8,2024
2021,auto,24,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,3954638,2.5,92,2024
2021,auto,25,GEICO INDEMNITY COMPANY,GEICO INDEMNITY COMPANY,521983,2.2,16,2024
2021,auto,26,AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL INSURANCE COMPANY,72525,2.7,2,2024
2021,auto,27,ALLSTATE NORTHBROOK INDEMNITY COMPANY,ALLSTATE NORTHBROOK INDEMNITY COMPANY,1890414,3.4,66,2024
2021,auto,27,FARMERS INS EXCH,Farmers Ins Exch,1387800,2.9,40,2023
2021,auto,28,CALIFORNIA AUTOMOBILE INSURANCE COMPANY,CALIFORNIA AUTOMOBILE INSURANCE COMPANY,101974,4.4,10,2024
2021,auto,29,FARMERS SPECIALTY INSURANCE COMPANY,Farmers Specialty Insurance Company,65732,6.5,4,2023
2021,auto,29,DRIVE INSURANCE COMPANY,DRIVE INSURANCE COMPANY,504242,2.1,10,2024
2021,auto,30,COMMERCE WEST INSURANCE COMPANY,Commerce West Insurance Company,65312,6.9,3,2023
2021,auto,30,PROGRESSIVE SELECT INSURANCE COMPANY,PROGRESSIVE SELECT INSURANCE COMPANY,360687,3.5,13,2024
2021,auto,31,ALLSTATE INSURANCE COMPANY,ALLSTATE INSURANCE COMPANY,57367,1.8,1,2024
2021,auto,32,GARRISON PROPERTY AND CASUALTY INSURANCE CO,GARRISON PROPERTY AND CASUALTY INSURANCE CO,249455,2.4,5,2024
2021,auto,33,USAA GENERAL INDEMNITY COMPANY,USAA GENERAL INDEMNITY COMPANY,280203,2.3,6,2024
2021,auto,34,GEICO CASUALTY COMPANY,GEICO CASUALTY COMPANY,252776,2.9,12,2024
2021,auto,35,LIBERTY MUTUAL FIRE INSURANCE COMPANY,LIBERTY MUTUAL FIRE INSURANCE COMPANY,298052,5.5,18,2024
2021,auto,36,INFINITY INSURANCE COMPANY,INFINITY INSURANCE COMPANY,1724718,10.8,108,2024
2021,auto,37,CALIFORNIA CASUALTY INDEMNITY EXCHANGE (THE),CALIFORNIA CASUALTY INDEMNITY EXCHANGE (THE),156828,1.9,3,2024
2021,auto,38,COAST NATIONAL INSURANCE CO.,Coast National Insurance Co.,154550,3.4,6,2023
2021,auto,38,SAFEWAY INSURANCE COMPANY,SAFEWAY INSURANCE COMPANY,68465,1.5,1,2024
2021,auto,39,ASPIRE GENERAL INSURANCE COMPANY,ASPIRE GENERAL INSURANCE COMPANY,300989,3.6,4,2024
2021,auto,40,FARMERS DIRECT P&C INSURANCE COMPANY,FARMERS DIRECT P&C INSURANCE COMPANY,112118,4.2,5,2024
2021,auto,41,ANCHOR GENERAL INSURANCE COMPANY,ANCHOR GENERAL INSURANCE COMPANY,131057,3.5,4,2024
2021,auto,42,LOYA CASUALTY INSURANCE COMPANY,LOYA CASUALTY INSURANCE COMPANY,228190,6.3,15,2024
2021,auto,43,FARMERS DIRECT PROPERTY AND CASUALTY INSURANCE COMPANY,Farmers Direct Property and Casualty Insurance Company,112262,4.2,5,2023
2021,auto,43,21ST CENTURY INSURANCE COMPANY,21ST CENTURY INSURANCE COMPANY,353642,3.3,13,2024
2021,auto,44,NATIONAL GENERAL PREMIER INSURANCE COMPANY,NATIONAL GENERAL PREMIER INSURANCE COMPANY,72816,6.3,5,2024
2021,auto,45,INTEGON PREFERRED INSURANCE COMPANY,INTEGON PREFERRED INSURANCE COMPANY,118784,25.4,14,2024
2021,auto,46,INTEGON NATIONAL INSURANCE COMPANY,INTEGON NATIONAL INSURANCE COMPANY,448672,21.0,80,2024
2021,auto,46,FINANCIAL INDEMNITY COMPANY,Financial Indemnity Company,243876,13.4,35,2023
2021,auto,47,ESURANCE PROPERTY AND CASUALTY INSURANCE COMPANY,Esurance Property and Casualty Insurance Company,243028,2.6,7,2023
2021,auto,47,METROMILE INSURANCE COMPANY,METROMILE INSURANCE COMPANY,54204,4.5,3,2024
