state,report_year,year,line,metric,value,source_page
MO,2021,2018,homeowners,pct_resolved_consumer_relief,0.255,6
MO,2022,2018,homeowners,complaints_total,247.0,5
MO,2022,2018,homeowners,pct_resolved_consumer_relief,0.255,6
MO,2021,2019,homeowners,complaints_total,287.0,6
MO,2021,2019,homeowners,pct_resolved_consumer_relief,0.282,6
MO,2022,2019,homeowners,complaints_total,287.0,5
MO,2022,2019,homeowners,pct_resolved_consumer_relief,0.282,6
MO,2023,2019,homeowners,complaints_total,287.0,6
MO,2023,2019,homeowners,pct_resolved_consumer_relief,0.282,7
MO,2021,2020,homeowners,complaints_total,255.0,6
MO,2021,2020,homeowners,pct_resolved_consumer_relief,0.349,6
MO,2022,2020,homeowners,complaints_total,255.0,5
MO,2022,2020,homeowners,pct_resolved_consumer_relief,0.349,6
MO,2023,2020,homeowners,complaints_total,255.0,6
MO,2023,2020,homeowners,pct_resolved_consumer_relief,0.349,7
MO,2021,2021,homeowners,complaints_total,348.0,6
MO,2021,2021,homeowners,pct_resolved_consumer_relief,0.264,6
MO,2022,2021,homeowners,complaints_total,348.0,5
MO,2022,2021,homeowners,pct_resolved_consumer_relief,0.264,6
MO,2023,2021,homeowners,complaints_total,348.0,6
MO,2023,2021,homeowners,pct_resolved_consumer_relief,0.264,7
MO,2022,2022,homeowners,complaints_total,362.0,5
MO,2022,2022,homeowners,pct_resolved_consumer_relief,0.326,6
MO,2023,2022,homeowners,complaints_total,360.0,6
MO,2023,2022,homeowners,pct_resolved_consumer_relief,0.331,7
MO,2023,2023,homeowners,complaints_total,537.0,6
MO,2023,2023,homeowners,pct_resolved_consumer_relief,0.37799999999999995,7
MO,2021,2017,life_annuities,complaints_total,349.0,6
MO,2021,2017,life_annuities,pct_resolved_consumer_relief,0.292,6
MO,2021,2018,life_annuities,complaints_total,298.0,6
MO,2021,2018,life_annuities,pct_resolved_consumer_relief,0.33899999999999997,6
MO,2022,2018,life_annuities,complaints_total,298.0,5
MO,2022,2018,life_annuities,pct_resolved_consumer_relief,0.33899999999999997,6
MO,2021,2019,life_annuities,complaints_total,294.0,6
MO,2021,2019,life_annuities,pct_resolved_consumer_relief,0.327,6
MO,2022,2019,life_annuities,complaints_total,293.0,5
MO,2022,2019,life_annuities,pct_resolved_consumer_relief,0.324,6
MO,2023,2019,life_annuities,complaints_total,293.0,6
MO,2023,2019,life_annuities,pct_resolved_consumer_relief,0.324,7
MO,2021,2020,life_annuities,complaints_total,229.0,6
MO,2021,2020,life_annuities,pct_resolved_consumer_relief,0.332,6
MO,2022,2020,life_annuities,complaints_total,228.0,5
MO,2022,2020,life_annuities,pct_resolved_consumer_relief,0.33299999999999996,6
MO,2023,2020,life_annuities,complaints_total,228.0,6
MO,2023,2020,life_annuities,pct_resolved_consumer_relief,0.33299999999999996,7
MO,2021,2021,life_annuities,complaints_total,252.0,6
MO,2021,2021,life_annuities,pct_resolved_consumer_relief,0.361,6
MO,2022,2021,life_annuities,complaints_total,250.0,5
MO,2022,2021,life_annuities,pct_resolved_consumer_relief,0.364,6
MO,2023,2021,life_annuities,complaints_total,250.0,6
MO,2023,2021,life_annuities,pct_resolved_consumer_relief,0.364,7
MO,2022,2022,life_annuities,complaints_total,250.0,5
MO,2022,2022,life_annuities,pct_resolved_consumer_relief,0.35600000000000004,6
MO,2023,2022,life_annuities,complaints_total,250.0,6
MO,2023,2022,life_annuities,pct_resolved_consumer_relief,0.36,7
MO,2023,2023,life_annuities,complaints_total,244.0,6
MO,2023,2023,life_annuities,pct_resolved_consumer_relief,0.332,7
MO,2021,2017,long_term_care,complaints_total,70.0,6
MO,2021,2017,long_term_care,pct_resolved_consumer_relief,0.28600000000000003,6
MO,2021,2018,long_term_care,complaints_total,61.0,6
MO,2021,2018,long_term_care,pct_resolved_consumer_relief,0.27899999999999997,6
MO,2022,2018,long_term_care,complaints_total,61.0,5
MO,2022,2018,long_term_care,pct_resolved_consumer_relief,0.27899999999999997,6
MO,2021,2019,long_term_care,complaints_total,67.0,6
MO,2021,2019,long_term_care,pct_resolved_consumer_relief,0.358,6
MO,2022,2019,long_term_care,complaints_total,67.0,5
MO,2022,2019,long_term_care,pct_resolved_consumer_relief,0.358,6
MO,2021,2020,long_term_care,complaints_total,55.0,6
MO,2021,2020,long_term_care,pct_resolved_consumer_relief,0.4,6
MO,2022,2020,long_term_care,complaints_total,55.0,5
MO,2022,2020,long_term_care,pct_resolved_consumer_relief,0.4,6
MO,2021,2021,long_term_care,complaints_total,48.0,6
MO,2021,2021,long_term_care,pct_resolved_consumer_relief,0.375,6
MO,2022,2021,long_term_care,complaints_total,48.0,5
MO,2022,2021,long_term_care,pct_resolved_consumer_relief,0.375,6
MO,2022,2022,long_term_care,complaints_total,53.0,5
MO,2022,2022,long_term_care,pct_resolved_consumer_relief,0.642,6
MO,2021,2017,medicare_supplement,complaints_total,46.0,6
MO,2021,2017,medicare_supplement,pct_resolved_consumer_relief,0.652,6
MO,2021,2018,medicare_supplement,complaints_total,45.0,6
MO,2021,2018,medicare_supplement,pct_resolved_consumer_relief,0.5329999999999999,6
MO,2022,2018,medicare_supplement,complaints_total,45.0,5
MO,2022,2018,medicare_supplement,pct_resolved_consumer_relief,0.5329999999999999,6
MO,2021,2019,medicare_supplement,complaints_total,29.0,6
MO,2021,2019,medicare_supplement,pct_resolved_consumer_relief,0.379,6
MO,2022,2019,medicare_supplement,complaints_total,29.0,5
MO,2022,2019,medicare_supplement,pct_resolved_consumer_relief,0.379,6
MO,2023,2019,medicare_supplement,complaints_total,29.0,6
MO,2023,2019,medicare_supplement,pct_resolved_consumer_relief,0.379,7
MO,2021,2020,medicare_supplement,complaints_total,28.0,6
MO,2021,2020,medicare_supplement,pct_resolved_consumer_relief,0.536,6
MO,2022,2020,medicare_supplement,complaints_total,28.0,5
MO,2022,2020,medicare_supplement,pct_resolved_consumer_relief,0.536,6
MO,2023,2020,medicare_supplement,complaints_total,28.0,6
MO,2023,2020,medicare_supplement,pct_resolved_consumer_relief,0.536,7
MO,2021,2021,medicare_supplement,complaints_total,23.0,6
MO,2021,2021,medicare_supplement,pct_resolved_consumer_relief,0.609,6
MO,2022,2021,medicare_supplement,complaints_total,23.0,5
MO,2022,2021,medicare_supplement,pct_resolved_consumer_relief,0.609,6
MO,2023,2021,medicare_supplement,complaints_total,23.0,6
MO,2023,2021,medicare_supplement,pct_resolved_consumer_relief,0.609,7
MO,2022,2022,medicare_supplement,complaints_total,23.0,5
MO,2022,2022,medicare_supplement,pct_resolved_consumer_relief,0.565,6
MO,2023,2022,medicare_supplement,complaints_total,23.0,6
MO,2023,2022,medicare_supplement,pct_resolved_consumer_relief,0.565,7
MO,2023,2023,medicare_supplement,complaints_total,30.0,6
MO,2023,2023,medicare_supplement,pct_resolved_consumer_relief,0.733,7
MO,2021,2017,other_pc,complaints_total,170.0,6
MO,2021,2017,other_pc,pct_resolved_consumer_relief,0.424,6
MO,2021,2018,other_pc,complaints_total,166.0,6
MO,2021,2018,other_pc,pct_resolved_consumer_relief,0.506,6
MO,2022,2018,other_pc,complaints_total,166.0,5
MO,2022,2018,other_pc,pct_resolved_consumer_relief,0.506,6
MO,2021,2019,other_pc,complaints_total,134.0,6
MO,2021,2019,other_pc,pct_resolved_consumer_relief,0.396,6
MO,2022,2019,other_pc,complaints_total,134.0,5
MO,2022,2019,other_pc,pct_resolved_consumer_relief,0.396,6
MO,2023,2019,other_pc,complaints_total,134.0,6
MO,2023,2019,other_pc,pct_resolved_consumer_relief,0.396,7
MO,2021,2020,other_pc,complaints_total,167.0,6
MO,2021,2020,other_pc,pct_resolved_consumer_relief,0.425,6
MO,2022,2020,other_pc,complaints_total,167.0,5
MO,2022,2020,other_pc,pct_resolved_consumer_relief,0.425,6
MO,2023,2020,other_pc,complaints_total,167.0,6
MO,2023,2020,other_pc,pct_resolved_consumer_relief,0.425,7
MO,2021,2021,other_pc,complaints_total,146.0,6
MO,2021,2021,other_pc,pct_resolved_consumer_relief,0.397,6
MO,2022,2021,other_pc,complaints_total,146.0,5
MO,2022,2021,other_pc,pct_resolved_consumer_relief,0.418,6
MO,2023,2021,other_pc,complaints_total,146.0,6
MO,2023,2021,other_pc,pct_resolved_consumer_relief,0.418,7
MO,2022,2022,other_pc,complaints_total,162.0,5
MO,2022,2022,other_pc,pct_resolved_consumer_relief,0.488,6
MO,2023,2022,other_pc,complaints_total,162.0,6
MO,2023,2022,other_pc,pct_resolved_consumer_relief,0.494,7
MO,2023,2023,other_pc,complaints_total,137.0,6
MO,2023,2023,other_pc,pct_resolved_consumer_relief,0.474,7
MO,2021,2017,private_passenger_auto,complaints_total,629.0,6
MO,2021,2017,private_passenger_auto,pct_resolved_consumer_relief,0.32299999999999995,6
MO,2021,2018,private_passenger_auto,complaints_total,565.0,6
MO,2021,2018,private_passenger_auto,pct_resolved_consumer_relief,0.34700000000000003,6
MO,2022,2018,private_passenger_auto,complaints_total,565.0,5
MO,2022,2018,private_passenger_auto,pct_resolved_consumer_relief,0.349,6
MO,2021,2019,private_passenger_auto,complaints_total,566.0,6
MO,2021,2019,private_passenger_auto,pct_resolved_consumer_relief,0.387,6
MO,2022,2019,private_passenger_auto,complaints_total,566.0,5
MO,2022,2019,private_passenger_auto,pct_resolved_consumer_relief,0.387,6
MO,2023,2019,private_passenger_auto,complaints_total,566.0,6
MO,2023,2019,private_passenger_auto,pct_resolved_consumer_relief,0.387,7
MO,2021,2020,private_passenger_auto,complaints_total,471.0,6
MO,2021,2020,private_passenger_auto,pct_resolved_consumer_relief,0.44799999999999995,6
MO,2022,2020,private_passenger_auto,complaints_total,471.0,5
MO,2022,2020,private_passenger_auto,pct_resolved_consumer_relief,0.44799999999999995,6
MO,2023,2020,private_passenger_auto,complaints_total,471.0,6
MO,2023,2020,private_passenger_auto,pct_resolved_consumer_relief,0.44799999999999995,7
MO,2021,2021,private_passenger_auto,complaints_total,468.0,6
MO,2021,2021,private_passenger_auto,pct_resolved_consumer_relief,0.45299999999999996,6
MO,2022,2021,private_passenger_auto,complaints_total,468.0,5
MO,2022,2021,private_passenger_auto,pct_resolved_consumer_relief,0.455,6
MO,2023,2021,private_passenger_auto,complaints_total,468.0,6
MO,2023,2021,private_passenger_auto,pct_resolved_consumer_relief,0.455,7
MO,2022,2022,private_passenger_auto,complaints_total,570.0,5
MO,2022,2022,private_passenger_auto,pct_resolved_consumer_relief,0.461,6
MO,2023,2022,private_passenger_auto,complaints_total,570.0,6
MO,2023,2022,private_passenger_auto,pct_resolved_consumer_relief,0.461,7
MO,2023,2023,private_passenger_auto,complaints_total,700.0,6
MO,2023,2023,private_passenger_auto,pct_resolved_consumer_relief,0.41,7
MO,2021,2017,total,complaints_total,2629.0,6
MO,2021,2017,total,pct_resolved_consumer_relief,0.342,6
MO,2021,2018,total,complaints_total,2395.0,6
MO,2021,2018,total,pct_resolved_consumer_relief,0.349,6
MO,2022,2018,total,complaints_total,2395.0,5
MO,2022,2018,total,pct_resolved_consumer_relief,0.349,6
MO,2021,2019,total,complaints_total,2264.0,6
MO,2021,2019,total,pct_resolved_consumer_relief,0.371,6
MO,2022,2019,total,complaints_total,2263.0,5
MO,2022,2019,total,pct_resolved_consumer_relief,0.37,6
MO,2021,2020,total,complaints_total,1941.0,6
MO,2021,2020,total,pct_resolved_consumer_relief,0.401,6
MO,2022,2020,total,complaints_total,1940.0,5
MO,2022,2020,total,pct_resolved_consumer_relief,0.401,6
MO,2021,2021,total,complaints_total,1906.0,6
MO,2021,2021,total,pct_resolved_consumer_relief,0.38799999999999996,6
MO,2022,2021,total,complaints_total,1904.0,5
MO,2022,2021,total,pct_resolved_consumer_relief,0.391,6
MO,2022,2022,total,complaints_total,2063.0,5
MO,2022,2022,total,pct_resolved_consumer_relief,0.436,6
MO,2021,2017,total_ah,complaints_total,1163.0,6
MO,2021,2017,total_ah,pct_resolved_consumer_relief,0.38799999999999996,6
MO,2021,2018,total_ah,complaints_total,1119.0,6
MO,2021,2018,total_ah,pct_resolved_consumer_relief,0.349,6
MO,2022,2018,total_ah,complaints_total,1119.0,5
MO,2022,2018,total_ah,pct_resolved_consumer_relief,0.349,6
MO,2021,2019,total_ah,complaints_total,982.0,6
MO,2021,2019,total_ah,pct_resolved_consumer_relief,0.397,6
MO,2022,2019,total_ah,complaints_total,982.0,5
MO,2022,2019,total_ah,pct_resolved_consumer_relief,0.397,6
MO,2023,2019,total_ah,complaints_total,982.0,6
MO,2023,2019,total_ah,pct_resolved_consumer_relief,0.397,7
MO,2021,2020,total_ah,complaints_total,819.0,6
MO,2021,2020,total_ah,pct_resolved_consumer_relief,0.40399999999999997,6
MO,2022,2020,total_ah,complaints_total,819.0,5
MO,2022,2020,total_ah,pct_resolved_consumer_relief,0.40399999999999997,6
MO,2023,2020,total_ah,complaints_total,819.0,6
MO,2023,2020,total_ah,pct_resolved_consumer_relief,0.40399999999999997,7
MO,2021,2021,total_ah,complaints_total,689.0,6
MO,2021,2021,total_ah,pct_resolved_consumer_relief,0.41200000000000003,6
MO,2022,2021,total_ah,complaints_total,688.0,5
MO,2022,2021,total_ah,pct_resolved_consumer_relief,0.414,6
MO,2023,2021,total_ah,complaints_total,688.0,6
MO,2023,2021,total_ah,pct_resolved_consumer_relief,0.414,7
MO,2022,2022,total_ah,complaints_total,714.0,5
MO,2022,2022,total_ah,pct_resolved_consumer_relief,0.489,6
MO,2023,2022,total_ah,complaints_total,714.0,6
MO,2023,2022,total_ah,pct_resolved_consumer_relief,0.49,7
MO,2023,2023,total_ah,complaints_total,790.0,6
MO,2023,2023,total_ah,pct_resolved_consumer_relief,0.519,7
MO,2021,2017,total_pc,complaints_total,1117.0,6
MO,2021,2017,total_pc,pct_resolved_consumer_relief,0.309,6
MO,2021,2018,total_pc,complaints_total,978.0,6
MO,2021,2018,total_pc,pct_resolved_consumer_relief,0.35100000000000003,6
MO,2022,2018,total_pc,complaints_total,978.0,5
MO,2022,2018,total_pc,pct_resolved_consumer_relief,0.35200000000000004,6
MO,2021,2019,total_pc,complaints_total,987.0,6
MO,2021,2019,total_pc,pct_resolved_consumer_relief,0.358,6
MO,2022,2019,total_pc,complaints_total,987.0,5
MO,2022,2019,total_pc,pct_resolved_consumer_relief,0.358,6
MO,2023,2019,total_pc,complaints_total,987.0,6
MO,2023,2019,total_pc,pct_resolved_consumer_relief,0.358,7
MO,2021,2020,total_pc,complaints_total,893.0,6
MO,2021,2020,total_pc,pct_resolved_consumer_relief,0.415,6
MO,2022,2020,total_pc,complaints_total,893.0,5
MO,2022,2020,total_pc,pct_resolved_consumer_relief,0.415,6
MO,2023,2020,total_pc,complaints_total,893.0,6
MO,2023,2020,total_pc,pct_resolved_consumer_relief,0.415,7
MO,2021,2021,total_pc,complaints_total,962.0,6
MO,2021,2021,total_pc,pct_resolved_consumer_relief,0.376,6
MO,2022,2021,total_pc,complaints_total,962.0,5
MO,2022,2021,total_pc,pct_resolved_consumer_relief,0.38,6
MO,2023,2021,total_pc,complaints_total,962.0,6
MO,2023,2021,total_pc,pct_resolved_consumer_relief,0.38,7
MO,2022,2022,total_pc,complaints_total,1094.0,5
MO,2022,2022,total_pc,pct_resolved_consumer_relief,0.42,6
MO,2023,2022,total_pc,complaints_total,1092.0,6
MO,2023,2022,total_pc,pct_resolved_consumer_relief,0.423,7
MO,2023,2023,total_pc,complaints_total,1374.0,6
MO,2023,2023,total_pc,pct_resolved_consumer_relief,0.40399999999999997,7
