year,line,company_name,premium,market_share,complaints,complaint_index
2020,group_health,Humana Ins Co,20227375.0,0.01,0,0.0
2020,group_health,Life Ins Co Of N Amer,12773890.0,0.01,0,0.0
2020,group_health,Metropolitan Life Ins Co,17077414.0,0.01,0,0.0
2020,group_health,Pacificsource Hlth Plans,81655409.0,0.04,0,0.0
2020,group_health,Principal Life Ins Co,8916096.0,0.0,0,0.0
2020,group_health,Regence Blueshield Of ID Inc,265378441.0,0.14,0,0.0
2020,group_health,SelectHealth Inc,134626218.0,0.07,0,0.0
2020,group_health,SilverScript Ins Co,11552117.0,0.01,0,0.0
2020,group_health,Standard Ins Co,9327978.0,0.01,0,0.0
2020,group_health,Timber Products Manufacturers Trust,8831292.0,0.0,0,0.0
2020,group_health,UnitedHealthcare Ins Co,89408016.0,0.05,0,0.0
2020,group_health,Unum Life Ins Co Of Amer,8606331.0,0.0,0,0.0
2020,group_health,WellCare Prescription Ins Inc,16503691.0,0.01,0,0.0
2020,group_health,Willamette Dental of ID Inc,14800181.0,0.01,0,0.0
2020,homeowners,AIG Prop Cas Co,5512217.0,0.01,0,0.0
2020,homeowners,Allstate Vehicle & Prop Ins Co,21169008.0,0.05,0,0.0
2020,homeowners,American Economy Ins Co,15548800.0,0.03,0,0.0
2020,homeowners,American Family Mut Ins Co SI,6610542.0,0.01,0,0.0
2020,homeowners,Auto Owners Ins Co,12181597.0,0.03,0,0.0
2020,homeowners,Farm Bureau Mut Ins Co Of ID,43011488.0,0.09,0,0.0
2020,homeowners,Farmers Ins Co Of ID,10756259.0,0.02,0,0.0
2020,homeowners,Farmers Ins Exch,26195638.0,0.06,0,0.0
2020,homeowners,Foremost Ins Co Grand Rapids MI,9130082.0,0.02,0,0.0
2020,homeowners,Liberty Ins Corp,13249625.0,0.03,0,0.0
2020,homeowners,Mutual Of Enumclaw Ins Co,5538639.0,0.01,0,0.0
2020,homeowners,Safeco Ins Co Of IL,38570258.0,0.08,1,5.93
2020,homeowners,State Farm Fire & Cas Co,67010164.0,0.15,0,0.0
2020,homeowners,Travco Ins Co,10992941.0,0.02,0,0.0
2020,homeowners,Travelers Home & Marine Ins Co,9109538.0,0.02,0,0.0
2020,homeowners,USAA Cas Ins Co,10959517.0,0.02,0,0.0
2020,homeowners,USAA Gen Ind Co,7712620.0,0.02,0,0.0
2020,homeowners,United Heritage Prop & Cas Co,12156719.0,0.03,0,0.0
2020,homeowners,United Serv Automobile Assn,16379491.0,0.04,0,0.0
2020,homeowners,Vigilant Ins Co,6296689.0,0.01,0,0.0
2020,individual_health,Aetna Hlth & Life Ins Co,20104140.0,0.02,0,0.0
2020,individual_health,American Family Life Assur Co of Col,31973060.0,0.02,0,0.0
2020,individual_health,Blue Cross of ID Care Plus Inc,8521242.0,0.01,0,0.0
2020,individual_health,Blue Cross of ID Hlth Serv Inc,425046062.0,0.32,2,0.52
2020,individual_health,Continental Life Ins Co Brentwood,22650811.0,0.02,0,0.0
2020,individual_health,Delta Dental Plan of ID Inc,67241682.0,0.05,0,0.0
2020,individual_health,Genworth Life Ins Co,8027646.0,0.01,0,0.0
2020,individual_health,Humana Ins Co,20227375.0,0.02,0,0.0
2020,individual_health,Montana Hlth Cooperative,69034790.0,0.05,5,7.94
2020,individual_health,Mutual Of Omaha Ins Co,18166602.0,0.01,0,0.0
2020,individual_health,Northwestern Mut Life Ins Co,8282487.0,0.01,0,0.0
2020,individual_health,Omaha Ins Co,7150398.0,0.01,0,0.0
2020,individual_health,Pacificsource Hlth Plans,17139837.0,0.01,0,0.0
2020,individual_health,Regence Blueshield Of ID Inc,57150653.0,0.04,0,0.0
2020,individual_health,SelectHealth Inc,327248433.0,0.25,0,0.0
2020,individual_health,SilverScript Ins Co,11552117.0,0.01,0,0.0
2020,individual_health,Transamerica Life Ins Co,12195093.0,0.01,0,0.0
2020,individual_health,United Of Omaha Life Ins Co,10212540.0,0.01,0,0.0
2020,individual_health,WellCare Prescription Ins Inc,16503691.0,0.01,0,0.0
2020,individual_health,Willamette Dental of ID Inc,14800181.0,0.01,0,0.0
