year_closed,coverage_type,total,confirmed,not_confirmed,confirmed_rate
2023,Automobile,9401,1014,8387,0.10786086586533347
2023,"Fire, Allied Lines & CMP",178,29,149,0.16292134831460675
2023,Homeowners,4080,632,3448,0.15490196078431373
2023,Liability,246,39,207,0.15853658536585366
2023,Life & Annuity,850,183,667,0.21529411764705883
2023,Miscellaneous,536,110,426,0.20522388059701493
2024,,25,5,20,0.2
2024,ALL,17369,4734,12635,0.2725545512119293
2024,Accident and Health,3603,1560,2043,0.43297252289758537
2024,Automobile,7729,1803,5926,0.23327726743433821
2024,"Fire, Allied Lines & CMP",153,34,119,0.2222222222222222
2024,Homeowners,4333,898,3435,0.2072467112854835
2024,Liability,269,52,217,0.19330855018587362
2024,Life & Annuity,814,265,549,0.32555282555282555
2024,Miscellaneous,443,117,326,0.26410835214446954
2025,ALL,22562,7057,15505,0.31278255473805516
2025,Accident and Health,4419,2069,2350,0.46820547635211585
2025,Automobile,9981,2716,7265,0.27211702234245067
2025,"Fire, Allied Lines & CMP",187,53,134,0.28342245989304815
2025,Homeowners,5591,1556,4035,0.2783044178143445
2025,Liability,474,95,379,0.20042194092827004
2025,Life & Annuity,1207,422,785,0.3496271748135874
2025,Miscellaneous,703,146,557,0.20768136557610242
2026,ALL,10284,2618,7666,0.2545702061454687
2026,Accident and Health,1810,662,1148,0.36574585635359114
2026,Automobile,5154,1128,4026,0.21885913853317812
2026,"Fire, Allied Lines & CMP",59,14,45,0.23728813559322035
2026,Homeowners,2084,538,1546,0.2581573896353167
2026,Liability,269,47,222,0.17472118959107807
2026,Life & Annuity,490,133,357,0.2714285714285714
2026,Miscellaneous,418,96,322,0.22966507177033493
