year,line,naic_code,company_name,complaints,premium,market_share,complaint_share,ratio,ratio_type,reason_underwriting,reason_marketing_sales,reason_claims_handling,reason_policyholder_service,source_file
2018,group_health,65110,Kanawha Ins Co,0,0.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,65129,Kansas City Life Ins Co,0,1627836.0,0.00008999999999999999,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,19437,Lexington Ins Co,0,0.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,19917,Liberty Ins Underwriters Inc,0,2629512.0,0.00015,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,65315,Liberty Life Assur Co Of Boston,6,37529310.0,0.00214,0.007940000000000001,3.71,share_of_share,,,,,2018.pdf
2018,group_health,65331,Liberty Natl Life Ins Co,0,89.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,65498,Life Ins Co Of N Amer,4,66059466.0,0.00377,0.00529,1.4,share_of_share,,,,,2018.pdf
2018,group_health,97691,Life Of The South Ins Co,0,40.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,77720,LifeSecure Ins Co,0,12693.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,99724,LifeShield Natl Ins Co,4,3590222.0,0.00021,0.00529,25.2,share_of_share,,,,,2018.pdf
2018,group_health,62057,Lincoln Life & Ann Co of NY,0,197679.0,0.00001,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,65676,Lincoln Natl Life Ins Co,8,58842231.0,0.00336,0.01058,3.15,share_of_share,,,,,2018.pdf
2018,group_health,65722,Loyal Amer Life Ins Co,0,41094.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,65781,Madison Natl Life Ins Co Inc,0,751265.0,0.00004,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,61883,ManhattanLife Assur Co of Amer,0,476163.0,0.00003,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,38970,Markel Ins Co,0,2532.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,65935,Massachusetts Mut Life Ins Co,0,14317.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,69515,Medamerica Ins Co,0,180968.0,0.00001,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,63762,Medco Containment Life Ins Co,0,25883662.0,0.00148,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,52559,Medical Assoc Hlth Plan Inc,0,7533744.0,0.00043,0.0,0.0,share_of_share,,,,,2018.pdf
